SKU,Name,Description,List Price
A400-WD-8448-CL-OM,A400 Wood Blind 84x48 Cordless Outside Mount,Natural wood 2-inch slat horizontal blind with cordless lift. Outside mount. Natural finish.,89.99
A400-WD-8448-CL-IM,A400 Wood Blind 84x48 Cordless Inside Mount,Natural wood 2-inch slat horizontal blind with cordless lift. Inside mount. Natural finish.,79.99
A400-WD-8448-MT-OM,A400 Wood Blind 84x48 Motorized RTS Outside Mount,Natural wood 2-inch slat horizontal blind. Motorized RTS. Outside mount. Natural finish.,189.99
A400-AL-6036-WH-IM,A400 Aluminum Blind 60x36 White Inside Mount,Aluminum 1-inch slat mini blind. White. Cordless. Inside mount. Premium.,39.99
A400-AL-6036-BK-IM,A400 Aluminum Blind 60x36 Black Inside Mount,Aluminum 1-inch slat mini blind. Matte Black. Corded. Inside mount. Premium.,39.99
A400-AL-6036-SL-IM,A400 Aluminum Blind 60x36 Silver Inside Mount,Aluminum 1-inch slat mini blind. Silver. Corded. Inside mount.,34.99
A400-FW-4836-IV-OM,A400 Faux Wood Blind 48x36 Ivory Outside Mount,Faux wood 2-inch horizontal blind. Ivory. Cordless. Outside mount. Standard.,54.99
A400-FW-7260-WT-OM,A400 Faux Wood Blind 72x60 White Outside Mount,Faux wood 2-inch horizontal blind. White. Cordless. Outside mount. Standard.,69.99
A400-FW-7260-MT-ZW,A400 Faux Wood Blind 72x60 Motorized Z-Wave,Faux wood 2-inch horizontal blind. White. Motorized Z-Wave. Outside mount. Smart home compatible.,249.99
A400-RS-3660-BL-IM,A400 Roller Shade 36x60 Blackout Linen Inside Mount,Premium blackout roller shade. Linen fabric. Inside mount. Single. 110V compatible.,64.99
A400-RS-4860-GY-IM,A400 Roller Shade 48x60 Room Darkening Grey Inside Mount,Room darkening roller shade. Grey fabric. Inside mount. Pair.,99.99
A400-CS-3648-WH-OM,A400 Cellular Shade 36x48 White Outside Mount,Single cell honeycomb shade. White. Cordless. Outside mount. Energy efficient. Economy.,44.99
A400-CS-7296-WH-TD,A400 Cellular Shade 72x96 White Top Down Bottom Up,Single cell honeycomb shade. White. Top down bottom up. Cordless.,119.99
A400-VT-8496-EC-IM,A400 Vertical Blind 84x96 Espresso Inside Mount,Fabric vertical blind. Espresso. 3.5-inch vanes. Inside mount. Commercial grade.,149.99
A400-VT-8496-CH-IM,A400 Vertical Blind 84x96 Charcoal Inside Mount,Fabric vertical blind. Charcoal. 3.5-inch vanes. Inside mount. Commercial grade.,149.99
A400-ACC-VALANCE-WD,Valance for A400 Wood Blinds,Matching wood valance for A400 horizontal blind series. Set of 2.,18.99
A400-ACC-BRACKET-AL,Mounting Brackets for A400 Aluminum Blinds,Installation brackets for A400 aluminum blind. Case of 6.,9.99
